item_code,description,category,tab,total_sales,total_qty
4806533602379,RETASAR (LOSARTAN POTASSIUM) 50MG,CARDIOVASCULAR,PRESCRIPTION,27044.75,11229.0
4807788561688,BIOGESIC (PARACETAMOL) 500MG TAB,PAIN MANAGEMENT,OTC,44411.05,10628.0
4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,VITAMINS,OTC,108060.6,7580.0
8904179014702,NOVASARTAN (LOSARTAN K) 50MG FC TAB,CARDIOVASCULAR,GENERICS,17058.76,7234.0
0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,333887.27,6784.0
4807788561688,BIOGESIC 500MG TAB,PAIN MANAGEMENT,OTC,27564.0,6417.0
4807788562593,IMMUNPRO 500MG TAB,VITAMINS,OTC,51408.11,6210.0
4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,266166.57,4140.0
8904130424502,RETANIX (CETIRIZINE) 10MG TAB,RESPIRATORY,GENERICS,9880.39,4061.0
4806533602355,RETAVASC- 5 (AMLODIPINE) 5MG TAB,CARDIOVASCULAR,GENERICS,6342.53,3884.0
