anchor,complement,lift,confidence_pct,support_pct,pair_tx
LAMPEIN JUMBO PACK L 54S,LAMPEIN JUMBO PACK XL 48s,1022.8738095238094,80.95,0.07,17
LAMPEIN JUMBO PACK XL 48s,LAMPEIN JUMBO PACK L 54S,1022.8738095238094,85.0,0.07,17
GLIMESYN (GLIMEPIRIDE) 2MG TAB,GLUMET XR 500MG (METFORMIN HCI) TAB,335.03219696969694,47.73,0.08,21
GLUMET XR 500MG (METFORMIN HCI) TAB,GLIMESYN (GLIMEPIRIDE) 2MG TAB,335.03219696969694,58.33,0.08,21
PARTNERS BLOOD GLUCOMETER CBPC-73,PARTNERS GLUCOSE STRIPS 25&#039;S CBPC-73,319.2643343051506,61.9,0.1,26
PARTNERS GLUCOSE STRIPS 25&#039;S CBPC-73,PARTNERS BLOOD GLUCOMETER CBPC-73,319.2643343051506,53.06,0.1,26
INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML,VAXIRAB 2.5 IU 1ML,256.29817444219066,88.24,0.12,30
VAXIRAB 2.5 IU 1ML,INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML,256.29817444219066,34.48,0.12,30
VAXIRAB 2.5 IU 1ML,INSULIN SYRINGE COSMED,204.40570455512986,43.68,0.15,38
INSULIN SYRINGE COSMED,VAXIRAB 2.5 IU 1ML,204.40570455512986,70.37,0.15,38
CALTRATE ADVANCE TAB,CENTRUM(ADVANCE)TAB,192.99505840071876,32.08,0.07,17
CENTRUM(ADVANCE)TAB,CALTRATE ADVANCE TAB,192.99505840071876,40.48,0.07,17
AMVASC BE TAB 5MG,ATENURIX FCT 40MG,171.91156462585033,66.67,0.13,34
ATENURIX FCT 40MG,AMVASC BE TAB 5MG,171.91156462585033,34.69,0.13,34
CALCITROL 500 1250MG/250IU TAB,MAMACARE CAP,137.76239861720518,37.61,0.16,41
MAMACARE CAP,CALCITROL 500 1250MG/250IU TAB,137.76239861720518,59.42,0.16,41
AK LOG TAB,AMVASC BE (AMLODIPINE) 5MG TAB,128.03973333333334,63.33,0.15,38
AMVASC BE (AMLODIPINE) 5MG TAB,AK LOG TAB,128.03973333333334,30.4,0.15,38
AMVASC BE (AMLODIPINE) 5MG TAB,EUTHYROX (LEVOTHYROXINE) 50MCG TAB,35.15965217391304,12.8,0.06,16
CENTRUM SILVER ADV TAB 1s,ROBITUSSIN L-GEL (GUAIFENESIN) 200MG CAP,90.71641025641027,28.0,0.17,42
CENTRUM SILVER ADV TAB 1s,SOLMUX (CARBOCISTEINE) 500MG CAP,19.25409523809524,10.67,0.06,16
