date,sales,qty,profit,day_of_week,day_of_month,anomaly,anomaly_score
2023-01-02,11371.039999999999,335.0,2788.11,0,2,1,-0.5039628130195904
2023-01-03,18445.78,940.0,4266.16,1,3,1,-0.4642255622698117
2023-01-04,13372.9,591.0,2884.21,2,4,1,-0.4252306403280924
2023-01-05,8360.1,472.0,1528.52,3,5,1,-0.4678199003796918
2023-01-06,15049.289999999999,820.0,3530.96,4,6,1,-0.4502015055002385
2023-01-07,9526.78,663.0,2006.96,5,7,1,-0.4697346226444596
2023-01-08,3573.25,149.0,587.63,6,8,-1,-0.6124082917102387
2023-01-09,18033.739999999998,1094.0,3724.03,0,9,1,-0.511353093824754
2023-01-10,25928.96,643.0,4085.99,1,10,1,-0.4958746515313764
2023-01-11,14660.16,845.0,3753.14,2,11,1,-0.44321512207151037
2023-01-12,12879.63,486.0,2557.48,3,12,1,-0.41882696592647317
2023-01-13,23354.83,525.0,3549.77,4,13,1,-0.4508491475389157
2023-01-14,22687.58,500.0,5624.15,5,14,1,-0.5276601518459638
2023-01-15,12398.52,168.0,3259.57,6,15,1,-0.521908156152342
2023-01-16,16401.84,667.0,3535.77,0,16,1,-0.4542169937063855
2023-01-17,10007.94,550.0,2532.0,1,17,1,-0.45066287669185273
2023-01-18,17294.98,801.0,2490.09,2,18,1,-0.4420192989759623
2023-01-19,16598.6,547.0,2306.86,3,19,1,-0.4158077779836066
2023-01-20,18288.48,512.0,3788.5,4,20,1,-0.42396716617683644
2023-01-21,18087.78,1038.0,3529.57,5,21,1,-0.4981973711847745
2023-01-22,6839.7,177.0,1924.03,6,22,-1,-0.5307514789766753
2023-01-23,16669.92,758.0,4698.4,0,23,1,-0.4874192726198853
2023-01-24,24417.91,876.0,4551.53,1,24,1,-0.48585091927823876
2023-01-25,19499.809999999998,509.0,4532.32,2,25,1,-0.4646424780305675
2023-01-26,7411.16,313.0,1329.21,3,26,1,-0.5017012900154978
2023-01-27,14895.28,601.0,2294.21,4,27,1,-0.4328099111188532
2023-01-28,31301.469999999998,628.0,9029.47,5,28,-1,-0.677526940715402
2023-01-29,7894.46,268.0,1208.03,6,29,-1,-0.5296275278826299
2023-01-30,27556.15,816.0,4517.91,0,30,-1,-0.549026801126642
2023-01-31,22471.44,1132.0,3612.82,1,31,1,-0.5176753858961491
