item_code,description,category,tab,total_sales,total_qty
98057740,VAXIRAB 2.5 IU 1ML,COLD CHAIN,PRESCRIPTION,1080064.0,596.0
77965633,HOSPITAL BED 2-CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,344871.06,22.0
0725765883117,OHHIRA&#039;S RED OMX PROBIOTICS CAP,VITAMINS,OTC,333887.27,6784.0
4809015142035,OHHIRAs PROPOLIS 600MG CAP,RESPIRATORY,PRESCRIPTION,266166.57,4140.0
4800308100473,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ANTIBIOTICS,PRESCRIPTION,230301.7,618.0
33835549,RECLINING WHEELCHAIR WITH COMMODE,ASSISTIVE DEVICE,MED-SURG,137086.86000000002,14.0
4300010005,WHEELCHAIR BLACK ECONO,ASSISTIVE DEVICE,MED-SURG,118498.6,30.0
77939425,HOSPITAL BED 3 CRANKS MANUAL,ASSISTIVE DEVICE,MED-SURG,116342.74,4.0
4806504653348,CORVELAM 800MG (SEVELAMER CARBONATE) TAB,GUT AND HORMONES,PRESCRIPTION,112370.0,3255.0
4806504260614,APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,VITAMINS,OTC,108060.6,7580.0
