anchor,complement,lift,confidence_pct,support_pct,pair_tx
LAMPEIN JUMBO PACK L 54S,LAMPEIN JUMBO PACK XL 48s,976.3795454545453,77.27,0.07,17
LAMPEIN JUMBO PACK XL 48s,LAMPEIN JUMBO PACK L 54S,976.3795454545453,85.0,0.07,17
GLIMESYN (GLIMEPIRIDE) 2MG TAB,GLUMET XR 500MG (METFORMIN HCI) TAB,328.19480519480516,63.64,0.11,28
GLUMET XR 500MG (METFORMIN HCI) TAB,GLIMESYN (GLIMEPIRIDE) 2MG TAB,328.19480519480516,57.14,0.11,28
PARTNERS BLOOD GLUCOMETER CBPC-73,PARTNERS GLUCOSE STRIPS 25&#039;S CBPC-73,319.2643343051506,61.9,0.1,26
PARTNERS GLUCOSE STRIPS 25&#039;S CBPC-73,PARTNERS BLOOD GLUCOMETER CBPC-73,319.2643343051506,53.06,0.1,26
INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML,VAXIRAB 2.5 IU 1ML,256.29817444219066,88.24,0.12,30
VAXIRAB 2.5 IU 1ML,INSULINE SYRINGE (BD ULTRA FINE) G30 0.5ML,256.29817444219066,34.48,0.12,30
VAXIRAB 2.5 IU 1ML,INSULIN SYRINGE COSMED,204.40570455512986,43.68,0.15,38
INSULIN SYRINGE COSMED,VAXIRAB 2.5 IU 1ML,204.40570455512986,70.37,0.15,38
CALCITROL 500 1250MG/250IU TAB,MAMACARE CAP,134.40234011434652,36.7,0.16,40
MAMACARE CAP,CALCITROL 500 1250MG/250IU TAB,134.40234011434652,57.97,0.16,40
CALTRATE ADVANCE TAB,CENTRUM(ADVANCE)TAB,130.0394511149228,33.96,0.07,18
CENTRUM(ADVANCE)TAB,CALTRATE ADVANCE TAB,130.0394511149228,27.27,0.07,18
BONAMINE CHEW(ADULT)TAB 25MG,BONAMINE CHEW(KIDS)TAB 12.5MG,95.99620132953467,13.68,0.06,16
BONAMINE CHEW(KIDS)TAB 12.5MG,BONAMINE CHEW(ADULT)TAB 25MG,95.99620132953467,44.44,0.06,16
AK LOG TAB,AMVASC BE TAB 5MG,90.9373106060606,63.33,0.15,38
AMVASC BE TAB 5MG,AK LOG TAB,90.9373106060606,21.59,0.15,38
AMVASC BE TAB 5MG,EUTHYROX TAB 50MCG,26.106404958677686,10.23,0.07,18
AMVASC BE TAB 5MG,ATENURIX FCT 40MG,24.101806006493504,26.7,0.19,47
CARESS ADULT DIAPER XL10,CARESS UNDERPADS XL8,90.5373254368648,34.75,0.19,49
CARESS UNDERPADS XL8,CARESS ADULT DIAPER XL10,90.5373254368648,50.52,0.19,49
AMLOSAPH (AMLODIPINE) 10MG TAB,CARDIPRES (CARVEDILOL) 12.5MG FC TAB,58.701509872241566,28.57,0.09,24
CARDIPRES (CARVEDILOL) 12.5MG FC TAB,AMLOSAPH (AMLODIPINE) 10MG TAB,58.701509872241566,19.51,0.09,24
RM AMLODIPINE 5MG,RM CLOPIDOGREL 75MG TAB,57.37481940144479,19.3,0.13,33
RM AMLODIPINE 5MG,RM ATORVASTATIN 10MG TAB,42.58172266825255,9.94,0.07,17
RM CLOPIDOGREL 75MG TAB,RM AMLODIPINE 5MG,57.37481940144479,38.82,0.13,33
CENTRUM SILVER ADVANCE TAB,ROBITUSSIN L-GEL CAP 200MG,56.246006808064934,25.37,0.2,51
CENTRUM SILVER ADVANCE TAB,SOLMUX 500MG CAP,11.368873716523764,8.46,0.07,17
ROBITUSSIN L-GEL CAP 200MG,CENTRUM SILVER ADVANCE TAB,56.246006808064934,44.74,0.2,51
AXMEL (AMOXICILLIN TRIHYDRATE) 500MG CAP,MECID (MEFENAMIC) 500MG CAP,55.46447187928669,19.75,0.06,16
MECID (MEFENAMIC) 500MG CAP,AXMEL (AMOXICILLIN TRIHYDRATE) 500MG CAP,55.46447187928669,17.78,0.06,16
ESSENTIALE FORTE CAP,SPIRODEN (SPIRONOLACTONE) 25MG TAB,55.208301671732535,41.07,0.09,23
SPIRODEN (SPIRONOLACTONE) 25MG TAB,ESSENTIALE FORTE CAP,55.208301671732535,12.23,0.09,23
SPIRODEN (SPIRONOLACTONE) 25MG TAB,CLOHEAL (CLOPIDOGREL) 75MG TAB,21.45003395201449,7.98,0.06,15
SPIRODEN (SPIRONOLACTONE) 25MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,20.840343064489527,10.64,0.08,20
SPIRODEN (SPIRONOLACTONE) 25MG TAB,KARVIDOL 25MG TAB,17.06923336710571,8.51,0.06,16
SPIRODEN (SPIRONOLACTONE) 25MG TAB,CALIPTROL (ATORVASTATIN) 40MG,13.378315014621359,11.17,0.08,21
GAUZE PAD 4X4 TRUCARE,MICROPORE 1 INCH,53.354073522106304,27.87,0.07,17
MICROPORE 1 INCH,GAUZE PAD 4X4 TRUCARE,53.354073522106304,12.88,0.07,17
CALIPTROL (ATORVASTATIN) 40MG,CLOHEAL (CLOPIDOGREL) 75MG TAB,49.690884340022194,18.48,0.15,39
CALIPTROL (ATORVASTATIN) 40MG,FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,49.19033513879486,10.9,0.09,23
CALIPTROL (ATORVASTATIN) 40MG,GIRAN-8 (CANDESARTAN) 8MG TAB,17.640214556008672,9.0,0.08,19
CALIPTROL (ATORVASTATIN) 40MG,KARVIDOL 25MG TAB,17.109681787406906,8.53,0.07,18
CALIPTROL (ATORVASTATIN) 40MG,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,14.7731173142368,13.27,0.11,28
CLOHEAL (CLOPIDOGREL) 75MG TAB,CALIPTROL (ATORVASTATIN) 40MG,49.690884340022194,41.49,0.15,39
CLOHEAL (CLOPIDOGREL) 75MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,37.51261751608115,19.15,0.07,18
CLOHEAL (CLOPIDOGREL) 75MG TAB,KARVIDOL 25MG TAB,32.004812563323206,15.96,0.06,15
CLOHEAL (CLOPIDOGREL) 75MG TAB,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,27.239338269753496,24.47,0.09,23
CLOHEAL (CLOPIDOGREL) 75MG TAB,SPIRODEN (SPIRONOLACTONE) 25MG TAB,21.45003395201449,15.96,0.06,15
FEBUNAZ (FEBUXOSTAT) 40MG FC TAB,CALIPTROL (ATORVASTATIN) 40MG,49.19033513879486,41.07,0.09,23
CARESS ADULT DIAPER L10+1,CARESS UNDERPADS L8,48.73505414626911,12.15,0.05,13
CARESS UNDERPADS L8,CARESS ADULT DIAPER L10+1,48.73505414626911,20.63,0.05,13
CARVIDA (CARVEDILOL) 6.25MG TAB,ISOPTIN TAB 40MG,46.00303398058253,8.74,0.07,18
CARVIDA (CARVEDILOL) 6.25MG TAB,FUSEDEX (FUROSEMIDE) 40MG TAB,29.895529085420574,14.08,0.11,29
ISOPTIN TAB 40MG,CARVIDA (CARVEDILOL) 6.25MG TAB,46.00303398058253,37.5,0.07,18
MEDIFORTAN(AS)CAP,MX3 CAP,44.83323477232407,15.79,0.07,18
MX3 CAP,MEDIFORTAN(AS)CAP,44.83323477232407,20.22,0.07,18
NATRAVOX (CO-AMOXICLAV) 457MG/5ML 70ML,NATRAVOX 457MG/5ML 35ML SUSP,44.335087719298244,13.33,0.07,18
NATRAVOX 457MG/5ML 35ML SUSP,NATRAVOX (CO-AMOXICLAV) 457MG/5ML 70ML,44.335087719298244,23.68,0.07,18
RM ATORVASTATIN 10MG TAB,RM AMLODIPINE 5MG,42.58172266825255,28.81,0.07,17
GIRAN-8 (CANDESARTAN) 8MG TAB,KARVIDOL 25MG TAB,41.97840531561462,20.93,0.11,27
GIRAN-8 (CANDESARTAN) 8MG TAB,CLOHEAL (CLOPIDOGREL) 75MG TAB,37.51261751608115,13.95,0.07,18
GIRAN-8 (CANDESARTAN) 8MG TAB,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,25.02677321312707,22.48,0.11,29
GIRAN-8 (CANDESARTAN) 8MG TAB,SPIRODEN (SPIRONOLACTONE) 25MG TAB,20.840343064489527,15.5,0.08,20
GIRAN-8 (CANDESARTAN) 8MG TAB,CALIPTROL (ATORVASTATIN) 40MG,17.640214556008672,14.73,0.08,19
KARVIDOL 25MG TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,41.97840531561462,21.43,0.11,27
KARVIDOL 25MG TAB,CLOHEAL (CLOPIDOGREL) 75MG TAB,32.004812563323206,11.9,0.06,15
KARVIDOL 25MG TAB,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,21.20495070274806,19.05,0.09,24
KARVIDOL 25MG TAB,CALIPTROL (ATORVASTATIN) 40MG,17.109681787406906,14.29,0.07,18
KARVIDOL 25MG TAB,SPIRODEN (SPIRONOLACTONE) 25MG TAB,17.06923336710571,12.7,0.06,16
ATENURIX FCT 40MG,B-PLEX (VIT B1+B6+B12) CAP,30.876221804511275,9.29,0.1,26
ATENURIX FCT 40MG,AMVASC BE TAB 5MG,24.101806006493504,16.79,0.19,47
ATENURIX FCT 40MG,DIABEE (VITAMIN B COMPLEX) CAP,22.363716814159293,10.0,0.11,28
ATENURIX FCT 40MG,AURORA (ROSUVASTATIN) 20MG FC TAB,20.713934426229503,5.0,0.06,14
ATENURIX FCT 40MG,NEBILET TAB 5MG,12.033809523809525,12.14,0.13,34
B-PLEX (VIT B1+B6+B12) CAP,ATENURIX FCT 40MG,30.876221804511275,34.21,0.1,26
