medicine,scenario,demand_change_pct,price_change_pct,projected_demand,projected_sales,projected_profit,projected_cost,profit_change_pct
RETASAR (LOSARTAN POTASSIUM) 50MG,Pessimistic,-20.0,-10.0,8983.2,19472.220000000005,11614.812000000002,7857.408000000003,-32.562162551333984
RETASAR (LOSARTAN POTASSIUM) 50MG,Conservative,-10.0,0.0,10106.1,24340.275,15500.690999999999,8839.584000000003,-9.999999999999996
RETASAR (LOSARTAN POTASSIUM) 50MG,Current,0.0,0.0,11229.0,27044.75,17222.989999999998,9821.760000000002,0.0
RETASAR (LOSARTAN POTASSIUM) 50MG,Optimistic,15.0,5.0,12913.349999999999,32656.535625,21361.511625,11295.024000000001,24.029054333771324
RETASAR (LOSARTAN POTASSIUM) 50MG,Aggressive,30.0,10.0,14597.7,38673.99250000001,25905.704500000007,12768.288,50.413514145917816
BIOGESIC (PARACETAMOL) 500MG TAB,Pessimistic,-20.0,-10.0,8502.4,31975.956000000002,12.891999999999825,31963.064000000002,-99.71076141630883
BIOGESIC (PARACETAMOL) 500MG TAB,Conservative,-10.0,0.0,9565.2,39969.94500000001,4011.4979999999996,35958.44700000001,-9.999999999999996
BIOGESIC (PARACETAMOL) 500MG TAB,Current,0.0,0.0,10628.0,44411.05,4457.220000000001,39953.83,4.0809953368823094e-14
BIOGESIC (PARACETAMOL) 500MG TAB,Optimistic,15.0,5.0,12222.199999999999,53626.342875,7679.438375000005,45946.9045,72.29210976797211
BIOGESIC (PARACETAMOL) 500MG TAB,Aggressive,30.0,10.0,13816.4,63507.8015,11567.822499999995,51939.97900000001,159.52998730150176
APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,Pessimistic,-20.0,-10.0,6064.0,77803.632,495.55199999999604,77308.08,-95.66275436523568
APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,Conservative,-10.0,0.0,6822.0,97254.54000000001,10282.950000000012,86971.59,-9.999999999999897
APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,Current,0.0,0.0,7580.0,108060.6,11425.5,96635.1,0.0
APPEVIT (BUCLIZINE HCL+B-COMPLEX+IRON) CAP,Optimistic,15.0,5.0,8717.0,130483.17450000001,19352.809500000003,111130.365,69.38260470001315
