medicine,qty,sales,profit,discount,discount_pct,profit_margin,discount_efficiency
BETTER C (ASCORBIC ACID ) 500MG TAB,1900.0,3800.0,2850.0,0.2,0.005262880901005211,75.0,9499.952500237498
MULTICAPS,3030.0,6060.0,6060.0,0.4,0.00660022440762986,100.0,7574.981062547344
LIVERAIDE (SILYMARIN) CAP,340.0,6232.75,235.15000000000003,0.35000000000000003,0.0056151834560652005,3.772812963780033,971.4257959262974
ATC FISH OIL 1000MG (30&#039;S) PER PC,45.0,277.88,14.63,0.05,0.017990141402511425,5.2648625305887435,899.9820003599928
MX3 COFFEE MIX 10G,30.0,518.4,37.8,0.04,0.007715454054471107,7.291666666666667,749.9812504687383
RENAKULT CAP(PROBIOTIC,2007.0,48313.26,637.98,3.14,0.006498828555107582,1.3205070409241686,639.1717709644041
NEURONERV (VIT. B1+B6+B12) TAB,120.0,652.8,283.2,0.2,0.030627871362940276,43.38235294117647,599.9970000149999
OMX (PROBIOTICS) CAP,30.0,1439.25,-60.75,0.05,0.003473910928923783,-4.220948410630537,599.9880002399951
ATC FISH OIL 1000MG (30,30.0,185.25,9.75,0.05,0.026983270372369132,5.263157894736842,599.9880002399951
2023-6-28,24.0,996.48,132.48,0.04,0.004013968610765464,13.294797687861271,599.9850003749906
AK LOG TAB,1430.0,20084.239999999998,135.73999999999998,2.8000000000000003,0.01393933600968585,0.6758533058756517,510.7141033163916
SERVONEX (DONEPEZIL HYDROCHLORIDE) 10MG TAB,100.0,3910.4,-457.6,0.2,0.005114304710274639,-11.702127659574469,499.9975000124999
DIAMAXIN 300MG CAP,100.0,4750.0,727.0,0.2,0.004210349037935246,15.305263157894736,499.9975000124999
MERIDON (DOMPERIDONE) 10MG FC TAB,234.0,420.62,303.62,0.5,0.11873100303951367,72.1839189767486,467.99906400187194
LIVERWELL CAP,65.0,1852.5,292.5,0.15000000000000002,0.00809651040401587,15.789473684210526,433.3304444637035
GLOBISAPH (KETOANALOGUE) 630MG TAB,2734.0,41556.8,23785.8,6.4,0.015398236901874736,57.23684210526315,427.1874332519635
INBUMIN 250MG FC TAB,20.0,821.75,101.75,0.05,0.006084205402774398,12.382111347733495,399.9920001599968
NEPHORMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,1745.0,29608.96,5178.96,4.4,0.014858158614895442,17.491191855438355,396.590818956632
PROPOLIS 600MG CAP,488.0,31802.1,31802.1,1.25,0.003930403558115733,100.0,390.3996876802499
NEPHROMIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) TAB,2476.0,39616.0,4952.0,6.4,0.016152479405588758,12.5,386.87493955079066
AMLOPIGEN 5MG (AMLODIPINE BESILATE,110.0,175.42,147.92,0.30000000000000004,0.17072615524698387,84.32333827385703,366.6654444485185
KETOMIRIN (KETOANALOGUES+ESSENTIAL AMINO ACIDS) 630MG FC TAB,1916.0,28740.0,17495.16,5.4,0.018785614393955208,60.87390396659708,354.8147491083798
XOPRAZOLE PLUS (OMEPRAZOLE) 40MG CAP 70&#039;S,14.0,94.08,48.16,0.04,0.042498937526561836,51.19047619047619,349.99125021874454
AMINOLOG (KETOANALOGUES+ESSENTIAL AMINO ACIDS) FC TAB,1215.0,23654.97,-6213.09,3.6,0.015216473354053099,-26.26547402089286,337.499906250026
NEOFORM 500MG TAB,381.0,1110.16,-86.44000000000001,1.2000000000000002,0.10797581341779443,-7.786265042876702,317.4997354168871
KETOGO (KETOANALOGUES +ESSEN. AMINO ACIDS,444.0,8098.5599999999995,2326.56,1.4000000000000001,0.017284035970548006,28.728070175438596,317.1426306124067
KIRKLAND FISH OIL,156.0,567.9200000000001,216.92000000000002,0.5,0.08796312585764046,38.195520495844484,311.999376001248
OMEGA GOLD CAP,261.0,7179.2,252.26000000000005,0.8500000000000001,0.011838357671603959,3.5137619790505914,307.058462284162
DOPEZIL (DONEPEZIL HYDROCHLORIDE) 5MG TAB,180.0,11052.0,-1472.4,0.6000000000000001,0.005428586938819826,-13.322475570032575,299.9995000008333
DELLA-E (VITAMIN E 400 I.U SOFT GELATIN) CAP 30,30.0,259.2,144.0,0.1,0.03856536829926726,55.55555555555556,299.9970000299997
VEGIVIT TAB,30.0,270.0,30.0,0.1,0.037023324694557574,11.11111111111111,299.9970000299997
OHHIRAs PROPOLIS 600MG CAP,3461.0,219799.77,16825.77,11.690000000000001,0.005318194055942307,7.655044407007342,296.0649875051337
GLIMESAPH T2 (GLIMEPIRIDE) 2MG TAB,115.0,205.16,103.96000000000001,0.4,0.1945903872348706,50.672645739910315,287.4992812517969
CITRUS C (SODIUM ASCORBATE) 568.16MG TAB,56.0,219.97,-88.03,0.2,0.0908388972157878,-40.01909351275174,279.99860000699994
DIANOV (GLIMEPIRIDE) 2MG TAB,160.0,371.20000000000005,224.0,0.6000000000000001,0.16137708445400753,60.34482758620688,266.6662222229629
HEPATEK (CARNITINE OROTATE+SILYMARIN+VIT B+ZINC) CAP,127.0,3641.43,310.26,0.49000000000000005,0.01345444161321501,8.520279121114507,259.18314452419486
SELCEE (ASCORBIC ACID) 500MG,1125.0,1764.72,1202.22,4.4,0.24871122365922044,68.12525499796001,255.68176007232722
CONCORE(BISOPROLOL FUMARATE) 5MG TAB,150.0,3720.0,-519.0,0.6000000000000001,0.016126431220770846,-13.951612903225808,249.99958333402773
DM CALCIUM CARBONATE 500MG,100.0,100.0,40.0,0.4,0.398406374501992,40.0,249.9993750015625
TELI 40 (TELMISARTAN) TAB,50.0,1026.8,-123.2,0.2,0.019474196689386564,-11.998441760810286,249.99875000624996
BIOFITEA (SENNA LEAVES 1SENNA POS) SAC,10.0,60.0,9.9,0.04,0.06662225183211193,16.5,249.99375015624608
HELLO CHOCOLATE,10.0,96.0,43.3,0.04,0.04164931278633902,45.104166666666664,249.99375015624608
VELMETIA 50/1000 TAB,147.0,3492.72,-161.7,0.6000000000000001,0.01717563807495449,-4.62962962962963,244.99959166734718
IMMUMAX (ASCORBIC ACID +ZINC) 500MG/10MG CAP,211.0,536.61,329.83,0.9,0.16743874532566838,61.465496356758166,234.4441839509067
RENABAL (KETOANALOGUES + ESSENTIAL AMINO ACIDS) FC TAB,561.0,8995.2,2543.7,2.4000000000000004,0.02667377967457989,28.278415154749197,233.7499026042072
TRIFOCID (DICLOFENAC) 50MG,70.0,189.0,127.4,0.30000000000000004,0.15847860538827258,67.40740740740742,233.33255555814813
OHHIRA PROPOLIS 600MG,69.0,4302.36,438.36,0.30000000000000004,0.006972431007795179,10.188826597495328,229.99923333588887
TAMSULIN-XL (TAMSULOSIN HYDROCHLORIDE) 400MCG CAP,90.0,1485.44,665.54,0.4,0.026920799009314596,44.80423308918569,224.99943750140625
MUCOFLEM (CARBOCISTEINE) 500MG CAP,45.0,112.46000000000001,69.26,0.2,0.17752529735487307,61.58634181042149,224.99887500562497
FENOSTAT (ATORVASTIN + FENOFIBRATE) 10MG/160MG TAB,110.0,2434.25,-205.10000000000002,0.5,0.02053598932128555,-8.425593098490296,219.99956000088
FENOCARE (FENOFIBRATE) 200MG CAP,212.0,1066.8,462.6,1.0,0.09365049634763065,43.36332958380203,211.99978800021202
SLEEPWELL (MELATONIN) 3MG CAP,232.0,3816.31,99.16999999999999,1.1,0.028815348626424726,2.598583448409589,210.90889917372803
MUCOPROTEC (REBAMIPIDE) 100MG FC TAB,42.0,604.8,-25.2,0.2,0.03305785123966942,-4.166666666666667,209.99895000524995
