date,sales,qty,profit,day_of_week,day_of_month,anomaly,anomaly_score
2024-09-18,118645.44,7258.0,22515.43,2,18,-1,-0.7865536155924449
2024-03-21,66970.49,3141.0,19546.56,3,21,-1,-0.7512465992630429
2024-03-18,87535.88,1509.0,19302.38,0,18,-1,-0.722854549151825
2024-09-25,96570.61,1255.0,72827.65,2,25,-1,-0.7205729953070982
2023-02-14,77845.62,851.0,24822.57,1,14,-1,-0.6745594706115428
2023-05-19,14788.59,683.0,-60298.170000000006,4,19,-1,-0.6723388342663384
2024-07-08,87247.77,832.0,17292.75,0,8,-1,-0.6709936437746813
2024-03-23,58221.36,1834.0,7964.84,5,23,-1,-0.6672479798682931
2025-03-05,31407.28,3708.0,9334.52,2,5,-1,-0.6390000715937926
2023-06-03,19449.58,818.0,-46708.54,5,3,-1,-0.6318575167173797
2025-03-08,54333.68,817.0,17789.41,5,8,-1,-0.6318476019391035
2023-11-27,32552.35,744.0,-25702.08,0,27,-1,-0.6267501045918665
2024-09-04,65353.29,505.0,-2243.8599999999997,2,4,-1,-0.626122097968734
2023-02-27,43102.04,349.0,14623.5,0,27,-1,-0.6248477689085495
2024-01-02,60406.74,839.0,14982.83,1,2,-1,-0.6146402352409933
2024-05-25,40280.92,1595.0,449.77,5,25,-1,-0.6114487783393888
2023-09-05,33732.58,2087.0,9204.72,1,5,-1,-0.6106770641416699
2024-11-10,40059.21,258.0,8159.8,6,10,-1,-0.6075450114206097
2024-02-26,37718.04,1796.0,8571.74,0,26,-1,-0.6072243588064049
2024-05-13,50999.15,1295.0,10621.95,0,13,-1,-0.6065625277658347
2024-07-05,54974.159999999996,631.0,14664.95,4,5,-1,-0.6058254974935822
2024-07-26,48004.12,529.0,17436.0,4,26,-1,-0.6031438918300505
2023-12-22,50331.71,1682.0,5659.24,4,22,-1,-0.6010401434824038
2024-02-12,45588.63,1517.0,9040.92,0,12,-1,-0.5998648025067852
2023-07-05,13613.68,501.0,-23417.26,2,5,-1,-0.5965633843455364
