date,sales,qty,profit,day_of_week,day_of_month,anomaly,anomaly_score
2022-05-09,5650.42,328.0,1128.49,0,9,-1,-0.5304287567409561
2022-05-10,7688.14,557.0,-5615.66,1,10,-1,-0.5335312071375498
2022-05-11,23026.7,951.0,4998.5599999999995,2,11,1,-0.4017076067760665
2022-05-12,16190.15,446.0,2045.97,3,12,1,-0.41008303570651533
2022-05-13,7007.85,346.0,1836.2,4,13,1,-0.4491977142229569
2022-05-14,10528.28,390.0,1016.49,5,14,1,-0.43533252057716076
2022-05-16,14386.31,601.0,2822.5299999999997,0,16,1,-0.43000033580029196
2022-05-17,5463.17,420.0,1306.43,1,17,1,-0.46889519088539044
2022-05-18,14761.47,603.0,2579.31,2,18,1,-0.3883542003199132
2022-05-19,12488.75,511.0,1902.87,3,19,1,-0.39937194446065805
2022-05-20,20134.91,453.0,2952.52,4,20,1,-0.4154691542866103
2022-05-21,17775.84,565.0,3748.37,5,21,1,-0.4086530266136903
2022-05-23,45376.32,816.0,12902.04,0,23,-1,-0.5585968730441293
2022-05-24,8809.1,393.0,2076.7400000000002,1,24,1,-0.45150402180784766
2022-05-25,10926.85,496.0,2693.61,2,25,1,-0.40426903777166673
2022-05-26,14235.39,740.0,2525.33,3,26,1,-0.39832676335745093
2022-05-27,14264.98,802.0,2501.22,4,27,1,-0.4046494319449071
2022-05-28,3198.2,252.0,510.45,5,28,1,-0.4851311107431183
2022-05-29,7515.219999999999,354.0,2213.3,6,29,1,-0.44045213632265284
2022-05-30,20106.79,1114.0,4035.56,0,30,1,-0.4640770497690075
2022-05-31,8261.03,590.0,1746.12,1,31,1,-0.4425155036920375
2022-06-01,18242.06,572.0,4647.900000000001,2,1,1,-0.3898521642370443
2022-06-02,8361.62,421.0,1416.47,3,2,1,-0.4306988375297246
2022-06-03,9326.17,492.0,1946.76,4,3,1,-0.4210874488675276
2022-06-04,7875.56,485.0,1691.88,5,4,1,-0.42300034982631607
2022-06-05,1448.96,82.0,420.28,6,5,-1,-0.5466271572541754
2022-06-06,8597.48,724.0,2459.92,0,6,1,-0.48134821657864313
2022-06-07,10230.49,399.0,1280.45,1,7,1,-0.44640351111013565
2022-06-08,17971.29,1033.0,3278.8,2,8,1,-0.4123431350595268
2022-06-09,7110.7699999999995,376.0,1155.34,3,9,1,-0.44583891676944887
2022-06-10,14410.63,729.0,4309.91,4,10,1,-0.4021666896877524
2022-06-11,9413.08,331.0,1437.8200000000002,5,11,1,-0.4317892105439301
2022-06-12,3970.75,285.0,859.77,6,12,1,-0.4558383215792395
2022-06-13,15273.9,530.0,2632.11,0,13,1,-0.43281465827683463
2022-06-14,9038.25,200.0,2169.9,1,14,1,-0.48764471669579373
2022-06-15,13567.96,701.0,2856.65,2,15,1,-0.3938473172333771
2022-06-16,19354.93,1275.0,3929.57,3,16,1,-0.46775272289779657
2022-06-17,15402.46,608.0,1863.94,4,17,1,-0.4042010170450765
2022-06-18,5734.03,243.0,1103.14,5,18,1,-0.4487397723300142
2022-06-20,5861.99,306.0,1652.53,0,20,-1,-0.5257281829619467
2022-06-21,10514.630000000001,445.0,1907.98,1,21,1,-0.4326970067065895
2022-06-22,7262.45,349.0,1253.5,2,22,1,-0.46186576596797513
2022-06-23,7844.55,402.0,1742.54,3,23,1,-0.4339408086753888
2022-06-24,21167.69,520.0,6607.68,4,24,1,-0.42497920985593696
2022-06-25,4306.63,198.0,1161.92,5,25,1,-0.46726450370624717
2022-06-26,7277.43,230.0,1212.04,6,26,1,-0.43522989209553287
2022-06-27,18534.41,779.0,2377.93,0,27,1,-0.43361923228301513
2022-06-28,5227.83,340.0,1170.68,1,28,1,-0.487136818315698
2022-06-29,10803.66,367.0,2185.69,2,29,1,-0.4313211560623832
2022-06-30,5797.9,248.0,1259.98,3,30,1,-0.4666793928861659
2022-07-01,13639.81,662.0,2835.23,4,1,1,-0.4019596278578391
2022-07-02,4458.98,265.0,1211.64,5,2,1,-0.4619317408754224
2022-07-04,48881.07,884.0,9548.890000000001,0,4,-1,-0.5417533175648995
2022-07-05,9282.93,383.0,1617.02,1,5,1,-0.4493111067889891
2022-07-06,15358.23,731.0,3006.4700000000003,2,6,1,-0.38943864809985196
2022-07-07,15633.77,608.0,3577.61,3,7,1,-0.3799626491595886
2022-07-08,7934.04,870.0,2171.47,4,8,1,-0.46407873590865606
2022-07-09,11281.34,562.0,1309.47,5,9,1,-0.42226477461462164
2022-07-10,4076.9,221.0,899.63,6,10,1,-0.44753927193608234
2022-07-11,13718.01,633.0,3674.7400000000002,0,11,1,-0.4360542434212171
2022-07-12,6768.13,342.0,1085.2,1,12,1,-0.47538140159264186
2022-07-13,6517.16,270.0,1971.43,2,13,1,-0.48618064759828017
2022-07-14,16294.970000000001,373.0,2467.45,3,14,1,-0.4107388123908317
2022-07-15,9675.82,380.0,1764.36,4,15,1,-0.43388954974061966
2022-07-16,11821.69,514.0,2186.79,5,16,1,-0.40765539222326497
2022-07-17,4166.97,279.0,957.3100000000001,6,17,1,-0.4526198606983638
2022-07-18,20291.41,473.0,2609.24,0,18,1,-0.4397771944653492
2022-07-19,9094.91,527.0,1684.86,1,19,1,-0.43094932596736796
2022-07-20,11607.64,530.0,2493.59,2,20,1,-0.40330794308674456
2022-07-21,10363.57,354.0,1662.45,3,21,1,-0.43112138053233556
2022-07-22,11989.86,601.0,1877.63,4,22,1,-0.4069282126430326
2022-07-23,15483.05,747.0,2673.02,5,23,1,-0.4220450200323963
2022-07-24,5706.92,238.0,1303.4,6,24,1,-0.43797975561457797
2022-07-25,19237.09,886.0,3573.96,0,25,1,-0.43208871601709103
2022-07-26,14867.46,728.0,2548.0,1,26,1,-0.40798768289081816
2022-07-27,16997.31,338.0,2851.98,2,27,1,-0.4263050709303648
2022-07-28,10225.6,618.0,2425.71,3,28,1,-0.4012906765505114
2022-07-29,10729.98,491.0,2014.89,4,29,1,-0.4133690618094942
2022-07-30,15203.18,1062.0,2911.94,5,30,1,-0.45399655862487015
2022-07-31,2296.62,177.0,384.86,6,31,1,-0.5038889659752315
2022-08-01,14918.16,734.0,2606.62,0,1,1,-0.4310264436893835
2022-08-02,27702.62,693.0,7684.95,1,2,1,-0.44086281530006527
2022-08-03,9966.65,536.0,1552.25,2,3,1,-0.42776940955629317
2022-08-04,15747.23,897.0,2927.25,3,4,1,-0.4185357727547037
2022-08-05,17751.54,766.0,2854.88,4,5,1,-0.396304402821354
2022-08-06,11463.45,411.0,2522.92,5,6,1,-0.4202260136723359
2022-08-07,4136.6,196.0,624.5600000000001,6,7,1,-0.4624935194981333
2022-08-08,14629.91,690.0,2544.3,0,8,1,-0.43293413469290637
2022-08-09,13428.59,619.0,2385.15,1,9,1,-0.4078810935890841
2022-08-10,15913.98,404.0,3484.94,2,10,1,-0.4145907376054045
2022-08-11,11795.28,645.0,2773.13,3,11,1,-0.40139821636506645
2022-08-12,10344.58,524.0,3552.3,4,12,1,-0.420256294819906
2022-08-13,9451.72,585.0,1467.6,5,13,1,-0.4252994215247192
2022-08-14,2567.37,238.0,646.3,6,14,1,-0.4724360220351604
2022-08-15,22119.85,753.0,3599.75,0,15,1,-0.4201391744120659
2022-08-16,10559.74,737.0,2071.45,1,16,1,-0.4313019346988869
2022-08-17,7868.5,360.0,1634.65,2,17,1,-0.45427041020161213
2022-08-18,11945.73,513.0,2702.25,3,18,1,-0.3949669655637261
2022-08-19,12895.84,699.0,3068.13,4,19,1,-0.4055076083380122
2022-08-20,9263.54,435.0,1705.48,5,20,1,-0.4228466391255478
2022-08-21,5193.15,201.0,1079.56,6,21,1,-0.4447975273196804
2022-08-22,8069.68,297.0,1481.31,0,22,-1,-0.5162646007377771
2022-08-23,11342.92,592.0,2350.86,1,23,1,-0.40742979408936825
2022-08-24,23229.57,557.0,5245.67,2,24,1,-0.40802804703552065
2022-08-25,6494.94,331.0,1366.39,3,25,1,-0.4496786859296062
2022-08-26,8747.52,657.0,2034.63,4,26,1,-0.43038499415573556
2022-08-27,9890.53,453.0,539.62,5,27,1,-0.44133158697214436
2022-08-28,10228.48,411.0,697.1999999999999,6,28,1,-0.46413859470318464
2022-08-29,14296.73,714.0,5164.55,0,29,1,-0.43971764717260997
2022-08-30,15095.15,636.0,3266.07,1,30,1,-0.4014873650628775
2022-08-31,10168.48,670.0,2243.92,2,31,1,-0.41415130624278895
2022-09-01,19263.72,979.0,2439.71,3,1,1,-0.4176236147080946
2022-09-02,12619.45,767.0,2679.5,4,2,1,-0.40871883206690063
2022-09-03,9649.94,534.0,1806.76,5,3,1,-0.41686002827808266
2022-09-04,4705.139999999999,209.0,912.5799999999999,6,4,1,-0.4459099891909479
2022-09-05,21258.04,772.0,3333.44,0,5,1,-0.421536765867122
2022-09-06,12281.27,566.0,2011.56,1,6,1,-0.4139723824674408
2022-09-07,13283.61,610.0,2684.06,2,7,1,-0.39191943734312995
2022-09-08,13555.21,759.0,1745.85,3,8,1,-0.41266788708912355
2022-09-09,20384.28,739.0,4091.45,4,9,1,-0.38765384539650344
2022-09-10,7507.08,473.0,1508.49,5,10,1,-0.4330512811494134
2022-09-11,6023.29,289.0,829.45,6,11,1,-0.4455181977427989
2022-09-12,24826.96,820.0,5024.74,0,12,1,-0.41254250842735435
2022-09-13,20613.56,562.0,3354.85,1,13,1,-0.4032045021878378
2022-09-14,18526.29,727.0,3723.4700000000003,2,14,1,-0.3855327647259436
2022-09-15,9534.57,767.0,1941.4,3,15,1,-0.4286527071445471
2022-09-16,23177.38,2165.0,7397.6,4,16,-1,-0.5919590875367601
2022-09-17,11128.69,645.0,2480.5,5,17,1,-0.4247572578881934
2022-09-18,8758.69,321.0,2689.68,6,18,1,-0.44310494947080237
2022-09-19,16136.93,640.0,2287.16,0,19,1,-0.4322802136971025
2022-09-20,19458.84,903.0,3735.19,1,20,1,-0.41487452975634465
2022-09-21,15474.97,478.0,2893.29,2,21,1,-0.3961048992927433
2022-09-22,15309.49,571.0,4809.6,3,22,1,-0.3922767795464952
2022-09-23,12645.32,751.0,2096.98,4,23,1,-0.41045366618206436
2022-09-24,8910.01,461.0,1601.63,5,24,1,-0.4225169225877685
2022-09-25,4154.43,150.0,954.86,6,25,1,-0.47108332396275565
2022-09-26,17602.88,771.0,2603.81,0,26,1,-0.4267700914161388
2022-09-27,9703.52,346.0,2342.2200000000003,1,27,1,-0.4413486840157619
2022-09-28,7977.8099999999995,371.0,2094.51,2,28,1,-0.45142129241084555
2022-09-29,20286.88,576.0,5061.81,3,29,1,-0.38913409619470213
2022-09-30,28696.9,701.0,6623.02,4,30,1,-0.422513115944276
2022-10-01,13074.33,754.0,3451.68,5,1,1,-0.42767620716787524
2022-10-02,6560.82,575.0,1265.14,6,2,1,-0.4695448996042593
2022-10-03,14149.65,894.0,3320.9,0,3,1,-0.44863639801103916
2022-10-04,13053.87,683.0,2549.68,1,4,1,-0.4140989371775364
2022-10-05,21304.74,1059.0,3949.23,2,5,1,-0.41027088939720074
2022-10-06,10641.92,497.0,1932.17,3,6,1,-0.4061753034795561
2022-10-07,13837.48,603.0,3462.92,4,7,1,-0.4001492163103852
2022-10-08,11745.539999999999,459.0,2220.31,5,8,1,-0.41458541761626305
2022-10-09,6247.56,406.0,1332.1,6,9,1,-0.44828563513390357
2022-10-10,30471.56,966.0,4038.13,0,10,1,-0.4478552317909925
2022-10-11,11139.76,470.0,2245.77,1,11,1,-0.41445291697312
2022-10-12,10716.22,551.0,3661.43,2,12,1,-0.4147866617533921
2022-10-13,13726.19,595.0,3158.39,3,13,1,-0.38883437188296616
2022-10-14,10953.09,480.0,2455.73,4,14,1,-0.4100841536068371
2022-10-15,24483.71,664.0,3076.64,5,15,1,-0.4372268427512117
2022-10-16,9210.77,399.0,1267.6100000000001,6,16,1,-0.44078940062409844
2022-10-17,18011.44,587.0,3174.08,0,17,1,-0.42256553761639915
2022-10-18,6331.95,488.0,1555.97,1,18,1,-0.45792761669830867
2022-10-19,12764.41,606.0,3670.95,2,19,1,-0.39426058758295296
2022-10-20,16113.5,465.0,6382.2699999999995,3,20,1,-0.4151045371618924
2022-10-21,13428.66,457.0,3129.8,4,21,1,-0.4046266726719156
2022-10-22,15101.15,375.0,2805.28,5,22,1,-0.42373594632820466
2022-10-23,14903.76,284.0,4354.05,6,23,1,-0.4826449705911312
2022-10-24,10561.3,603.0,2083.18,0,24,1,-0.4600826710088186
2022-10-25,12873.39,711.0,3784.77,1,25,1,-0.41643367802363157
2022-10-26,16209.5,417.0,3758.04,2,26,1,-0.40916173540766304
2022-10-27,8478.12,397.0,1176.91,3,27,1,-0.43082219551536605
2022-10-28,15253.9,682.0,3207.06,4,28,1,-0.3945606374640442
2022-10-29,15781.88,924.0,1936.94,5,29,1,-0.452207119583832
2022-10-30,10730.56,541.0,2091.45,6,30,1,-0.4517690442020908
2022-10-31,11781.71,554.0,2301.88,0,31,1,-0.44623341045931236
2022-11-02,25054.19,1110.0,4070.98,2,2,1,-0.42109334125301545
2022-11-03,13104.64,618.0,1352.2700000000002,3,3,1,-0.4113893348507714
2022-11-04,7316.26,353.0,1640.14,4,4,1,-0.4469982670621137
2022-11-05,10014.07,475.0,1987.94,5,5,1,-0.4224712307746996
2022-11-06,9237.75,302.0,1435.22,6,6,1,-0.4428899184164018
2022-11-07,14368.49,699.0,3109.33,0,7,1,-0.42656511000607417
2022-11-08,11240.34,855.0,3308.32,1,8,1,-0.4404105060311404
2022-11-09,10087.11,307.0,1078.0400000000002,2,9,1,-0.4492687921103714
2022-11-10,14605.22,516.0,2937.4900000000002,3,10,1,-0.38733166129984903
2022-11-11,15595.960000000001,712.0,2821.65,4,11,1,-0.3946179273473893
2022-11-12,13324.05,777.0,3983.82,5,12,1,-0.4239202618213355
2022-11-13,8255.619999999999,228.0,2296.56,6,13,1,-0.4434661314915329
2022-11-14,11412.82,706.0,2125.67,0,14,1,-0.45039155066173536
2022-11-15,14781.57,341.0,2145.81,1,15,1,-0.43926205228020954
2022-11-16,15135.43,796.0,2743.75,2,16,1,-0.3977971362399255
2022-11-17,16427.51,708.0,3202.86,3,17,1,-0.38076921080019904
2022-11-18,21999.82,929.0,4167.14,4,18,1,-0.4135816156756469
2022-11-19,6832.94,467.0,1027.05,5,19,1,-0.4413482417179915
2022-11-20,7698.66,852.0,2068.19,6,20,1,-0.5008628569815518
2022-11-21,20935.16,671.0,4831.07,0,21,1,-0.4174525156440281
2022-11-22,6745.91,219.0,771.98,1,22,-1,-0.5130536311073458
2022-11-23,13173.84,648.0,2555.54,2,23,1,-0.39821981020358205
2022-11-24,9490.58,424.0,2560.03,3,24,1,-0.4139101676854792
2022-11-25,20044.5,485.0,4741.99,4,25,1,-0.41109339216972113
2022-11-26,16263.08,681.0,2796.84,5,26,1,-0.41460666955182357
2022-11-27,13533.58,295.0,3227.29,6,27,1,-0.46901307173292206
2022-11-28,26033.01,632.0,6928.6,0,28,1,-0.4416416573821981
2022-11-29,19499.41,1210.0,4347.14,1,29,1,-0.4586640278689572
2022-11-30,9531.72,494.0,1974.68,2,30,1,-0.4165832811077363
2022-12-01,13504.47,645.0,2671.81,3,1,1,-0.39675387055046446
2022-12-02,23405.07,816.0,3100.79,4,2,1,-0.40353516937670914
2022-12-03,27780.88,828.0,7281.81,5,3,1,-0.45580978904892866
2022-12-04,8558.0,702.0,2579.61,6,4,1,-0.4831946153124138
